nepali_date,english_date,day,specialday,holiday,event
2/18/2071,6/1/2014,sun,FALSE,FALSE,no event
2/19/2071,6/2/2014,mon,FALSE,FALSE,no event
2/20/2071,6/3/2014,tue,FALSE,FALSE,no event
2/21/2071,6/4/2014,wed,FALSE,FALSE,no event
2/22/2071,6/5/2014,thu,FALSE,FALSE,no event
2/23/2071,6/6/2014,fri,FALSE,FALSE,no event
2/24/2071,6/7/2014,sat,FALSE,TRUE,no event
2/25/2071,6/8/2014,sun,FALSE,FALSE,no event
2/26/2071,6/9/2014,mon,FALSE,FALSE,no event
2/27/2071,6/10/2014,tue,FALSE,FALSE,no event
2/28/2071,6/11/2014,wed,FALSE,FALSE,no event
2071-2-29,6/12/2014,thu,FALSE,FALSE,no event
2071-2-30,6/13/2014,fri,FALSE,FALSE,no event
2071-2-31,6/14/2014,sat,TRUE,TRUE,no event
3/1/2071,6/15/2014,sun,FALSE,FALSE,no event
3/2/2071,6/16/2014,mon,FALSE,FALSE,no event
3/3/2071,6/17/2014,tue,FALSE,FALSE,no event
3/4/2071,6/18/2014,wed,TRUE,FALSE,no event
3/5/2071,6/19/2014,thu,FALSE,FALSE,no event
3/6/2071,6/20/2014,fri,TRUE,FALSE,no event
3/7/2071,6/21/2014,sat,TRUE,TRUE,no event
3/8/2071,6/22/2014,sun,FALSE,FALSE,no event
3/9/2071,6/23/2014,mon,FALSE,FALSE,no event
3/10/2071,6/24/2014,tue,FALSE,FALSE,no event
3/11/2071,6/25/2014,wed,FALSE,FALSE,no event
3/12/2071,6/26/2014,thu,FALSE,FALSE,no event
3/13/2071,6/27/2014,fri,FALSE,FALSE,no event
3/14/2071,6/28/2014,sat,FALSE,TRUE,no event
3/15/2071,6/29/2014,sun,FALSE,FALSE,no event
3/16/2071,6/30/2014,mon,FALSE,FALSE,no event
3/17/2071,7/1/2014,tue,FALSE,FALSE,no event
3/18/2071,7/2/2014,wed,TRUE,FALSE,no event
3/19/2071,7/3/2014,thu,FALSE,FALSE,no event
3/20/2071,7/4/2014,fri,FALSE,FALSE,no event
3/21/2071,7/5/2014,sat,FALSE,TRUE,no event
3/22/2071,7/6/2014,sun,FALSE,FALSE,no event
3/23/2071,7/7/2014,mon,FALSE,FALSE,no event
3/24/2071,7/8/2014,tue,FALSE,FALSE,no event
3/25/2071,7/9/2014,wed,FALSE,FALSE,no event
3/26/2071,7/10/2014,thu,FALSE,FALSE,no event
3/27/2071,7/11/2014,fri,TRUE,FALSE,no event
3/28/2071,7/12/2014,sat,FALSE,TRUE,no event
